Date,Away Team,Home Team,Away Final,Home Final,Away Record After,Home Record After,Away Rank Prior,Home Rank Prior
"Week 1, 2019",notre dame,louisville,18.0,-18.0,(1-0),(0-1),9,Unranked
"Week 1, 2019",houston,oklahoma,-18.0,18.0,(0-1),(1-0),Unranked,4
"Week 1, 2019",ole miss,memphis,-5.0,5.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,fcs_team,10.0,-10.0,(1-0),(0-1),Unranked,Unranked
"Week 1, 2019",south alabama,nebraska,-14.0,14.0,(0-1),(1-0),Unranked,24
"Week 1, 2019",indiana,ball state,10.0,-10.0,(1-0),(0-1),Unranked,Unranked
"Week 1, 2019",boise state,florida state,5.0,-5.0,(1-0),(0-1),Unranked,Unranked
"Week 1, 2019",fcs_team,iowa state,0.0,0.0,(0-1),(1-0),Unranked,21
"Week 1, 2019",fcs_team,kansas,-7.0,7.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",toledo,kentucky,-14.0,14.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,maryland,-79.0,79.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",east carolina,nc state,-28.0,28.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",akron,illinois,-39.0,39.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fau,fcs_team,-24.0,24.0,(0-1),(1-0),Unranked,5
"Week 1, 2019",fcs_team,west virginia,-7.0,7.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,ohio,-21.0,21.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,washington,-33.0,33.0,(0-1),(1-0),Unranked,13
"Week 1, 2019",fcs_team,temple,-44.0,44.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",georgia state,tennessee,8.0,-8.0,(1-0),(0-1),Unranked,Unranked
"Week 1, 2019",fcs_team,fcs_team,-35.0,35.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",duke,alabama,-39.0,39.0,(0-1),(1-0),Unranked,2
"Week 1, 2019",idaho,penn state,-72.0,72.0,(0-1),(1-0),Unranked,15
"Week 1, 2019",fcs_team,air force,-41.0,41.0,(0-2),(1-0),Unranked,Unranked
"Week 1, 2019",south carolina,north carolina,-4.0,4.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",eastern michigan,fcs_team,7.0,-7.0,(1-0),(0-1),Unranked,Unranked
"Week 1, 2019",fcs_team,navy,-38.0,38.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",northwestern,stanford,-10.0,10.0,(0-1),(1-0),Unranked,25
"Week 1, 2019",fcs_team,texas tech,-35.0,35.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,arkansas,-7.0,7.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",virginia tech,boston college,-7.0,7.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,fcs_team,-8.0,8.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,utsa,-28.0,28.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",syracuse,fcs_team,24.0,-24.0,(1-0),(0-1),22,Unranked
"Week 1, 2019",fcs_team,troy,-29.0,29.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,california,-14.0,14.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,marshall,-39.0,39.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,fcs_team,-14.0,14.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,southern miss,-28.0,28.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,kansas state,-35.0,35.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,baylor,-39.0,39.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,western michigan,-35.0,35.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",smu,arkansas state,7.0,-7.0,(1-0),(0-1),Unranked,Unranked
"Week 1, 2019",fcs_team,old dominion,-3.0,3.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",georgia,vanderbilt,24.0,-24.0,(1-0),(0-1),3,Unranked
"Week 1, 2019",oregon,auburn,-6.0,6.0,(0-1),(1-0),11,16
"Week 1, 2019",fcs_team,north texas,-20.0,20.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",missouri,wyoming,-6.0,6.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,iowa,-24.0,24.0,(0-1),(1-0),Unranked,20
"Week 1, 2019",fcs_team,michigan,-19.0,19.0,(0-1),(1-0),Unranked,7
"Week 1, 2019",virginia,pittsburgh,16.0,-16.0,(1-0),(0-1),Unranked,Unranked
"Week 1, 2019",georgia southern,lsu,-52.0,52.0,(0-1),(1-0),Unranked,6
"Week 1, 2019",fcs_team,fcs_team,-22.0,22.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,utep,-2.0,2.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",fcs_team,tcu,-32.0,32.0,(0-1),(1-0),Unranked,Unranked
"Week 1, 2019",louisiana tech,texas,-31.0,31.0,(0-1),(1-0),Unranked,10
"Week 1, 2019",fcs_team,san diego state,-6.0,6.0,(0-1),(1-0),Unranked,Unranked
