,Rank
air force,11.768007959623866
akron,-41.98626604173164
alabama,26.871866146499585
app,0.1884247661782794
arizona,-2.5044154764942377
arizona state,4.42131535599605
arkansas,-14.224553615823982
arkansas state,-10.009016426149081
army,0.7105247112270661
auburn,20.06443067885641
ball state,-5.270893504035609
baylor,15.872870105038047
boise state,8.802111154033234
boston college,0.21380147885492917
bowling green,-28.065598831727627
brigham young,3.3056992551349573
buffalo,-6.704634858667088
california,3.6191028419288642
central michigan,-8.003849307410952
charlotte,-18.02145076312623
cincinnati,12.243017297697087
clemson,30.70122821563404
colorado,-2.0487596704479003
colorado state,-11.691469045009569
connecticut,-21.5948379410631
duke,-6.371755210111548
east carolina,-7.698855210862984
eastern michigan,-14.831020416111269
fau,-1.8032501163068275
fcs_team,-18.81157523382172
fiu,-16.718229932392205
florida,18.59102361348811
florida state,2.348863370191559
fresno state,-3.337265383421716
georgia,24.14814491854691
georgia southern,-13.367787469431272
georgia state,-3.0678636811645674
georgia tech,-16.58710711508254
hawaii,-2.7005047189582285
houston,1.3225644133242227
idaho,-25.29552293865033
illinois,3.531591780934832
indiana,14.064283663279127
iowa,17.109108025939662
iowa state,14.854204536244353
kansas,-2.1356002547222204
kansas state,10.859933533423558
kent state,-13.870184028091835
kentucky,-0.46161940911749966
louisiana tech,-4.6284527174969945
louisville,-0.08402496449827979
lsu,25.46418636445197
marshall,-3.825012421415728
maryland,3.023618914876952
massachusetts,-49.36659671806495
memphis,13.609469549446878
miami (fla.),20.59228772938367
miami (ohio),-21.696950666356813
michigan,23.478142658314866
michigan state,8.419917993929808
minnesota,17.667243900181276
missouri,3.6013824714217932
navy,16.521641684071923
nc state,-6.592987618083907
nebraska,2.0305740292840326
nevada,-19.961141871170515
new mexico,-23.927818380562925
new mexico state,-27.099438455281582
north carolina,-2.7890275957641073
north texas,-11.3658770798721
northwestern,-3.829414134335245
notre dame,18.387363065116368
ohio,-11.12757842463759
ohio state,46.79326774619609
oklahoma,25.311856171643868
oklahoma state,14.781420498006064
old dominion,-22.540228171892608
ole miss,2.8174131559091258
oregon,25.33926102546544
oregon state,4.167990376229813
penn state,28.41189014009067
pittsburgh,-1.7764323999867848
purdue,1.1331764416892298
rice,-15.459655193723055
rutgers,-17.529711378330887
san diego state,-6.762279202083484
san jose state,-8.272774302583084
smu,9.576242179031134
south alabama,-25.722772764021393
south carolina,1.7183987301785066
south florida,-2.372169132902254
southern miss,-2.6038113167508428
stanford,0.8542668810937926
syracuse,-3.765913981515993
tcu,12.614324322804663
temple,1.7953851926869255
tennessee,2.667092387210076
texas,14.045948277406211
texas a&m,12.162704659035988
texas state,-22.512890009870745
texas tech,5.966623145752102
toledo,-11.209056254549388
troy,-7.929217570534103
tulane,9.027885929404242
tulsa,2.379486171705924
ucf,17.890976905446628
ucla,0.3463276803636113
ul lafayette,22.188424766178265
unlv,-17.860837969885136
usc,12.610048529868664
utah,25.441798714671982
utah state,-0.4918495988511715
utep,-30.11411872460797
utsa,-23.18569624337956
vanderbilt,-16.26603069171388
virginia,0.19734174935004845
virginia tech,-1.6324915020884099
wake forest,2.640228135784998
washington,17.232167219511922
washington state,12.338486355329273
west virginia,-3.2027344865698026
western kentucky,-7.1129375741872245
western michigan,-5.582326098891841
wisconsin,28.52869856318589
wyoming,-2.0029360173913417
